x,distance,y,z,label
-10,1.414213562,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-10,1.414213562,3,62,0
-9,1.414213562,2,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-10,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-9,1.732050808,2,61,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1,2,61,0
-9,0,2,61,0
-9,0,2,61,0
-9,1,2,61,0
-9,1,2,62,0
-9,1,3,62,0
-9,1,2,62,0
-8,1,2,62,0
-9,1,2,62,0
-9,1.414213562,3,62,0
-9,1,2,61,0
-9,1.414213562,3,61,0
-9,1.414213562,2,62,0
-8,1,2,61,0
-9,1,2,61,0
-9,1.732050808,2,62,0
-8,1.414213562,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1.414213562,2,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-8,1,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-8,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-8,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1.414213562,3,61,0
-8,1,3,62,0
-8,1,3,61,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-8,0,3,61,0
-8,1,3,61,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-8,1,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-8,1.414213562,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,2,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1.414213562,2,62,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,1,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1,3,62,0
-9,1,3,62,0
-8,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-8,1,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-8,1,3,61,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,0,3,61,0
-8,1.414213562,3,61,0
-8,1.414213562,2,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-8,1,3,62,0
-8,1,3,61,0
-8,1.414213562,3,62,0
-9,1,2,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1.414213562,3,62,0
-8,1,3,61,0
-8,1.732050808,3,62,0
-9,1.414213562,2,61,0
-9,1.732050808,3,62,0
-8,1.732050808,2,61,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,1.414213562,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-8,1,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1.414213562,2,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-8,1.414213562,3,61,0
-9,1.414213562,3,62,0
-8,1.732050808,2,62,0
-9,0,3,61,0
-9,1.732050808,3,61,0
-8,1.414213562,2,62,0
-9,1,3,62,0
-8,0,3,62,0
-8,1,3,62,0
-9,1,3,62,0
-8,1,3,62,0
-8,1.414213562,2,62,0
-8,1.414213562,3,61,0
-9,1,3,62,0
-8,1,3,62,0
-8,1.414213562,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-8,1,3,61,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,1.414213562,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1.414213562,2,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-8,1.414213562,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,1,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,2,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-9,0,2,62,0
-9,1,2,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,2,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-9,1.414213562,2,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-8,1.414213562,2,61,0
-9,1,3,61,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,1.732050808,2,61,0
-8,0,3,62,0
-8,1.414213562,3,62,0
-9,1.414213562,3,61,0
-8,0,3,62,0
-8,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1.414213562,3,61,0
-8,1,3,62,0
-8,1,3,61,0
-9,1,3,61,0
-8,0,3,61,0
-8,1,3,61,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1,3,61,0
-8,1.414213562,3,61,0
-9,1.414213562,3,62,0
-9,1.414213562,2,61,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,1.414213562,2,61,0
-9,0,3,62,0
-9,1.414213562,3,62,0
-8,1.414213562,3,61,0
-8,1.732050808,2,62,0
-9,1,3,61,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1.414213562,3,62,0
-9,1,2,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-8,1,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-8,1,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-9,1.414213562,2,62,0
-8,1,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,2,61,0
-9,0,3,61,0
-9,1,3,61,0
-9,1.414213562,3,62,0
-8,1,3,61,0
-9,1.414213562,3,61,0
-9,1,2,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-8,1.414213562,3,62,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,3,61,0
-9,1,3,62,0
-9,1.414213562,3,61,0
-8,1.414213562,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
-9,1,3,61,0
-9,0,3,62,0
-9,1,3,62,0
-9,1,2,62,0
-9,0,3,62,0
-9,0,3,62,0
-9,1.414213562,3,62,0
-9,1.414213562,2,61,0
-9,0,3,62,0
-9,0,3,62,0
-9,1,3,62,0
-9,0,3,61,0
